iter	Passed	Remaining
434	2395	3111
435	2396	3100
436	2397	3089
437	2398	3077
438	2399	3066
439	2401	3055
440	2402	3044
441	2403	3033
442	2404	3022
443	2404	3011
444	2406	3000
445	2407	2990
446	2408	2979
447	2409	2968
448	2410	2958
449	2411	2947
450	2412	2936
451	2413	2926
452	2414	2915
453	2415	2905
454	2416	2894
455	2417	2884
456	2418	2873
457	2419	2863
458	2420	2853
459	2421	2842
460	2422	2832
461	2423	2822
462	2424	2812
463	2425	2802
464	2426	2792
465	2427	2781
466	2428	2771
467	2429	2761
468	2430	2752
469	2431	2742
470	2432	2732
471	2433	2722
472	2434	2712
473	2435	2702
474	2436	2692
475	2437	2683
476	2438	2673
477	2440	2664
478	2441	2655
479	2442	2645
480	2443	2636
481	2444	2626
482	2445	2617
483	2446	2607
484	2447	2598
485	2448	2589
486	2449	2579
487	2449	2570
488	2450	2561
489	2451	2552
490	2452	2542
491	2454	2533
492	2455	2524
493	2456	2515
494	2457	2506
495	2458	2497
496	2458	2488
497	2460	2479
498	2461	2471
499	2462	2462
500	2463	2453
501	2463	2444
502	2464	2435
503	2465	2426
504	2466	2418
505	2467	2409
506	2468	2400
507	2470	2392
508	2471	2383
509	2471	2375
510	2472	2366
511	2473	2357
512	2475	2349
513	2476	2341
514	2477	2332
515	2477	2324
516	2479	2316
517	2480	2307
518	2481	2299
519	2482	2291
520	2483	2283
521	2484	2274
522	2485	2266
523	2486	2258
524	2487	2250
525	2488	2242
526	2489	2234
527	2490	2226
528	2491	2218
529	2492	2210
530	2493	2202
531	2494	2194
532	2495	2186
533	2496	2178
534	2498	2171
535	2499	2163
536	2500	2155
537	2501	2147
538	2502	2140
539	2503	2132
540	2504	2124
541	2505	2117
542	2506	2109
543	2507	2101
544	2508	2094
545	2509	2086
546	2510	2079
547	2511	2071
548	2512	2063
549	2513	2056
550	2514	2048
551	2515	2041
552	2516	2033
553	2517	2026
554	2518	2018
555	2519	2011
556	2520	2004
557	2521	1997
558	2522	1990
559	2523	1983
560	2524	1975
561	2525	1968
562	2526	1961
563	2527	1954
564	2528	1947
565	2530	1939
566	2531	1933
567	2532	1925
568	2533	1919
569	2534	1912
570	2535	1905
571	2537	1898
572	2538	1891
573	2539	1884
574	2540	1877
575	2541	1870
576	2542	1863
577	2543	1857
578	2544	1850
579	2545	1843
580	2546	1836
581	2547	1829
582	2549	1823
583	2550	1816
584	2551	1809
585	2552	1802
586	2552	1796
587	2554	1789
588	2555	1782
589	2555	1776
590	2556	1769
591	2558	1763
592	2559	1756
593	2559	1749
594	2560	1743
595	2561	1736
596	2563	1730
597	2564	1723
598	2565	1717
599	2566	1710
600	2567	1704
601	2568	1697
602	2569	1691
603	2570	1685
604	2571	1678
605	2572	1672
606	2572	1665
607	2573	1659
608	2574	1653
609	2576	1646
610	2577	1640
611	2578	1634
612	2579	1628
613	2580	1622
614	2581	1616
615	2582	1609
616	2583	1603
617	2584	1597
618	2585	1591
619	2586	1585
620	2587	1579
621	2589	1573
622	2590	1567
623	2591	1561
624	2592	1555
625	2593	1549
626	2594	1543
627	2595	1537
628	2596	1531
629	2597	1525
630	2598	1519
631	2599	1513
632	2600	1507
633	2602	1502
634	2603	1496
635	2604	1490
636	2605	1484
637	2606	1479
638	2607	1473
639	2609	1467
640	2610	1462
641	2611	1456
642	2612	1450
643	2613	1444
644	2615	1439
645	2616	1433
646	2617	1428
647	2618	1422
648	2619	1416
649	2621	1411
650	2622	1405
651	2623	1400
652	2625	1394
653	2626	1389
654	2627	1383
655	2629	1378
656	2630	1373
657	2631	1367
658	2633	1362
659	2634	1357
660	2636	1352
661	2637	1346
662	2639	1341
663	2640	1336
664	2642	1331
665	2643	1325
666	2645	1320
667	2646	1315
668	2647	1310
669	2649	1304
670	2651	1300
671	2654	1295
672	2656	1290
673	2657	1285
674	2659	1280
675	2661	1275
676	2662	1270
677	2664	1265
678	2668	1261
679	2670	1256
680	2672	1251
681	2673	1246
682	2675	1241
683	2676	1236
684	2677	1231
685	2679	1226
686	2682	1221
687	2683	1217
688	2685	1212
689	2686	1207
690	2688	1202
691	2689	1197
692	2691	1192
693	2692	1187
694	2693	1182
695	2696	1177
696	2698	1173
697	2700	1168
698	2701	1163
699	2703	1158
700	2704	1153
701	2706	1148
702	2707	1143
703	2708	1138
704	2711	1134
705	2712	1129
706	2714	1124
707	2715	1120
708	2717	1115
709	2718	1110
710	2720	1105
711	2721	1100
712	2722	1095
713	2725	1091
714	2727	1087
715	2729	1082
716	2730	1077
717	2732	1073
718	2733	1068
719	2735	1063
720	2736	1058
721	2743	1056
722	2745	1051
723	2747	1047
724	2748	1042
725	2750	1038
726	2752	1033
727	2754	1029
728	2756	1024
729	2759	1020
730	2761	1016
731	2762	1011
732	2765	1007
733	2767	1003
734	2770	999
735	2777	996
736	2782	993
737	2784	988
738	2788	984
739	2790	980
740	2791	975
741	2792	971
742	2795	966
743	2797	962
744	2799	958
745	2801	953
746	2803	949
747	2804	944
748	2805	940
749	2806	935
750	2807	930
751	2808	926
752	2809	921
753	2810	916
754	2811	912
755	2812	907
756	2816	903
757	2817	899
758	2818	894
759	2819	890
760	2820	885
761	2821	881
762	2822	876
763	2823	872
764	2824	867
765	2825	863
766	2826	858
767	2829	854
768	2830	850
769	2831	845
770	2833	841
771	2834	837
772	2835	832
773	2836	828
774	2837	823
775	2838	819
776	2839	814
777	2840	810
778	2841	806
779	2844	802
780	2845	797
781	2846	793
782	2847	789
783	2848	784
784	2849	780
785	2850	776
786	2851	771
787	2852	767
788	2853	763
789	2854	758
790	2856	754
791	2858	750
792	2860	746
793	2861	742
794	2861	737
795	2862	733
796	2863	729
797	2864	725
798	2865	720
799	2866	716
800	2867	712
801	2868	708
802	2869	704
803	2870	699
804	2871	695
805	2873	691
806	2874	687
807	2875	683
808	2876	679
809	2877	674
810	2878	670
811	2879	666
812	2880	662
813	2881	658
814	2882	654
815	2884	650
816	2885	646
817	2886	642
818	2890	638
819	2891	634
820	2892	630
821	2893	626
822	2894	622
823	2895	618
824	2896	614
825	2897	610
826	2898	606
827	2899	602
828	2900	598
829	2901	594
830	2903	590
831	2904	586
832	2905	582
833	2906	578
834	2907	574
835	2908	570
836	2909	566
837	2910	562
838	2911	558
839	2912	554
840	2913	550
841	2914	546
842	2915	542
843	2916	539
844	2918	535
845	2919	531
846	2920	527
847	2921	523
848	2922	519
849	2923	515
850	2924	512
851	2925	508
852	2926	504
853	2927	500
854	2928	496
855	2929	492
856	2931	489
857	2934	485
858	2935	481
859	2937	478
860	2938	474
861	2939	470
862	2940	466
863	2941	463
864	2942	459
865	2943	455
866	2945	451
867	2950	448
868	2952	445
869	2956	441
870	2957	438
871	2959	434
872	2960	430
873	2964	427
874	2965	423
875	2968	420
876	2970	416
877	2971	412
878	2972	409
879	2973	405
880	2975	401
881	2978	398
882	2980	394
883	2982	391
884	2983	387
885	2985	384
886	2986	380
887	2987	376
888	2988	373
889	2989	369
890	2990	365
891	2994	362
892	2995	358
893	2996	355
894	2997	351
895	2999	348
896	3000	344
897	3001	340
898	3002	337
899	3003	333
900	3004	330
901	3007	326
902	3009	323
903	3010	319
904	3012	316
905	3013	312
906	3014	309
907	3015	305
908	3016	301
909	3017	298
910	3018	294
911	3020	291
912	3023	288
913	3024	284
914	3025	281
915	3027	277
916	3028	274
917	3029	270
918	3030	267
919	3032	263
920	3033	260
921	3039	257
922	3041	253
923	3042	250
924	3043	246
925	3045	243
926	3046	239
927	3047	236
928	3048	232
929	3051	229
930	3053	226
931	3054	222
932	3055	219
933	3057	216
934	3058	212
935	3059	209
936	3060	205
937	3061	202
938	3062	198
939	3063	195
940	3067	192
941	3069	188
942	3074	185
943	3076	182
944	3077	179
945	3079	175
946	3082	172
947	3085	169
948	3095	166
949	3099	163
950	3101	159
951	3103	156
952	3105	153
953	3109	149
954	3112	146
955	3114	143
956	3116	140
957	3117	136
958	3119	133
959	3120	130
960	3123	126
961	3126	123
962	3128	120
963	3130	116
964	3132	113
965	3136	110
966	3140	107
967	3141	103
968	3143	100
969	3145	97
970	3147	94
971	3150	90
972	3153	87
973	3154	84
974	3156	80
975	3158	77
976	3159	74
977	3160	71
978	3161	67
979	3163	64
980	3168	61
981	3173	58
982	3176	54
983	3177	51
984	3179	48
985	3185	45
986	3188	41
987	3195	38
988	3199	35
989	3201	32
990	3203	29
991	3204	25
992	3205	22
993	3212	19
994	3215	16
995	3218	12
996	3220	9
997	3221	6
998	3229	3
999	3230	0
